	Id	Part2B	Part2T	Part1	Ref_Name
623	bes				Besme
624	bet				Guiberoua Béte
625	beu				Blagar
626	bev				Daloa Bété
627	bew				Betawi
628	bex				Jur Modo
629	bey				Beli (Papua New Guinea)
630	bez				Bena (Tanzania)
631	bfa				Bari
632	bfb				Pauri Bareli
633	bfc				Panyi Bai
634	bfd				Bafut
635	bfe				Betaf
636	bff				Bofi
637	bfg				Busang Kayan
638	bfh				Blafe
639	bfi				British Sign Language
640	bfj				Bafanji
641	bfk				Ban Khor Sign Language
642	bfl				Banda-Ndélé
643	bfm				Mmen
644	bfn				Bunak
645	bfo				Malba Birifor
646	bfp				Beba
647	bfq				Badaga
648	bfr				Bazigar
649	bfs				Southern Bai
650	bft				Balti
651	bfu				Gahri
652	bfw				Bondo
653	bfx				Bantayanon
654	bfy				Bagheli
655	bfz				Mahasu Pahari
656	bga				Gwamhi-Wuri
657	bgb				Bobongko
658	bgc				Haryanvi
659	bgd				Rathwi Bareli
660	bge				Bauria
661	bgf				Bangandu
662	bgg				Bugun
663	bgi				Giangan
664	bgj				Bangolan
665	bgk				Bit
666	bgl				Bo (Laos)
667	bgn				Western Balochi
668	bgo				Baga Koga
669	bgp				Eastern Balochi
670	bgq				Bagri
671	bgr				Bawm Chin
672	bgs				Tagabawa
673	bgt				Bughotu
674	bgu				Mbongno
675	bgv				Warkay-Bipim
676	bgw				Bhatri
677	bgx				Balkan Gagauz Turkish
678	bgy				Benggoi
679	bgz				Banggai
680	bha				Bharia
681	bhb				Bhili
682	bhc				Biga
683	bhd				Bhadrawahi
684	bhe				Bhaya
685	bhf				Odiai
686	bhg				Binandere
687	bhh				Bukharic
688	bhi				Bhilali
689	bhj				Bahing
690	bhl				Bimin
691	bhm				Bathari
692	bhn				Bohtan Neo-Aramaic
693	bho	bho	bho		Bhojpuri
694	bhp				Bima
695	bhq				Tukang Besi South
696	bhr				Bara Malagasy
697	bhs				Buwal
698	bht				Bhattiyali
699	bhu				Bhunjia
700	bhv				Bahau
701	bhw				Biak
702	bhx				Bhalay
703	bhy				Bhele
704	bhz				Bada (Indonesia)
705	bia				Badimaya
706	bib				Bissa
707	bic				Bikaru
708	bid				Bidiyo
709	bie				Bepour
710	bif				Biafada
711	big				Biangai
712	bij				Vaghat-Ya-Bijim-Legeri
713	bik	bik	bik		Bikol
714	bil				Bile
715	bim				Bimoba
716	bin	bin	bin		Bini
717	bio				Nai
718	bip				Bila
719	biq				Bipi
720	bir				Bisorio
721	bis	bis	bis	bi	Bislama
722	bit				Berinomo
723	biu				Biete
724	biv				Southern Birifor
725	biw				Kol (Cameroon)
726	bix				Bijori
727	biy				Birhor
728	biz				Baloi
729	bja				Budza
730	bjb				Banggarla
731	bjc				Bariji
732	bje				Biao-Jiao Mien
733	bjf				Barzani Jewish Neo-Aramaic
734	bjg				Bidyogo
735	bjh				Bahinemo
736	bji				Burji
737	bjj				Kanauji
738	bjk				Barok
739	bjl				Bulu (Papua New Guinea)
740	bjm				Bajelani
741	bjn				Banjar
742	bjo				Mid-Southern Banda
743	bjp				Fanamaket
744	bjr				Binumarien
745	bjs				Bajan
746	bjt				Balanta-Ganja
747	bju				Busuu
748	bjv				Bedjond
749	bjw				Bakwé
750	bjx				Banao Itneg
751	bjy				Bayali
752	bjz				Baruga
753	bka				Kyak
754	bkc				Baka (Cameroon)
755	bkd				Binukid
756	bkf				Beeke
757	bkg				Buraka
758	bkh				Bakoko
759	bki				Baki
760	bkj				Pande
761	bkk				Brokskat
762	bkl				Berik
763	bkm				Kom (Cameroon)
764	bkn				Bukitan
765	bko				Kwa'
766	bkp				Boko (Democratic Republic of Congo)
767	bkq				Bakairí
768	bkr				Bakumpai
769	bks				Northern Sorsoganon
770	bkt				Boloki
771	bku				Buhid
772	bkv				Bekwarra
773	bkw				Bekwel
774	bkx				Baikeno
775	bky				Bokyi
776	bkz				Bungku
777	bla	bla	bla		Siksika
778	blb				Bilua
779	blc				Bella Coola
780	bld				Bolango
781	ble				Balanta-Kentohe
782	blf				Buol
783	blg				Balau
784	blh				Kuwaa
785	bli				Bolia
786	blj				Bolongan
787	blk				Pa'o Karen
788	bll				Biloxi
789	blm				Beli (South Sudan)
790	bln				Southern Catanduanes Bikol
791	blo				Anii
792	blp				Blablanga
793	blq				Baluan-Pam
794	blr				Blang
795	bls				Balaesang
796	blt				Tai Dam
797	blv				Kibala
798	blw				Balangao
799	blx				Mag-Indi Ayta
800	bly				Notre
801	blz				Balantak
802	bma				Lame
803	bmb				Bembe
804	bmc				Biem
805	bmd				Baga Manduri
806	bme				Limassa
807	bmf				Bom-Kim
808	bmg				Bamwe
809	bmh				Kein
810	bmi				Bagirmi
811	bmj				Bote-Majhi
812	bmk				Ghayavi
813	bml				Bomboli
814	bmm				Northern Betsimisaraka Malagasy
815	bmn				Bina (Papua New Guinea)
816	bmo				Bambalang
817	bmp				Bulgebi
818	bmq				Bomu
819	bmr				Muinane
820	bms				Bilma Kanuri
821	bmt				Biao Mon
822	bmu				Somba-Siawari
823	bmv				Bum
824	bmw				Bomwali
825	bmx				Baimak
826	bmz				Baramu
827	bna				Bonerate
828	bnb				Bookan
829	bnc				Bontok
830	bnd				Banda (Indonesia)
831	bne				Bintauna
832	bnf				Masiwang
833	bng				Benga
834	bni				Bangi
835	bnj				Eastern Tawbuid
836	bnk				Bierebo
837	bnl				Boon
838	bnm				Batanga
839	bnn				Bunun
840	bno				Bantoanon
841	bnp				Bola
842	bnq				Bantik
843	bnr				Butmas-Tur
844	bns				Bundeli
